ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45104 8 45359 10 45614 12 45869 13 46125 13 46380 14 46637 12 46893 11 47150 9 47408 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50279 8 50533 11 50788 13 51043 15 51298 16 51553 17 51809 17 52064 18 52320 18 52576 17 52832 17 53088 16 53345 14 53602 12 53859 10 54117 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10893 4 11147 7 11401 10 11656 11 11911 13 12166 14 12422 13 12677 14 12933 14 13189 13 13445 12 13701 12 13957 10 14214 8 14471 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31631 7 31884 12 32139 14 32394 16 32649 17 32904 18 33159 19 33415 19 33671 19 33927 18 34183 17 34439 16 34695 14 34952 13 35209 10 35466 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50843 2 51097 6 51351 8 51605 11 51860 12 52115 13 52371 12 52626 13 52882 12 53137 13 53393 12 53648 12 53904 11 54161 9 54417 7 54675 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31133 3 31388 5 31644 6 31900 6 32156 6 32412 6 32669 4 32926 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38564 4 38819 6 39075 7 39327 11 39582 12 39838 12 40093 13 40349 13 40605 13 40862 11 41118 11 41375 9 41631 8 41888 6 42145 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47749 2 48268 4 48787 4 49306 4 49825 4 50344 5 50863 5 51382 6 51901 6 51924 1 52420 7 52439 7 52939 8 52954 12 53458 8 53473 13 53977 9 53992 13 54496 10 54512 13 55015 13 55031 14 55534 16 55552 12 56053 31 56572 19 56595 9 57092 18 57114 9 57612 18 57633 9 58134 15 58152 9 58654 14 58671 10 59174 13 59191 9 59694 12 59711 8 60214 11 60231 8 60734 10 60751 7 61254 7 61270 1 61273 3 61776 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,64382 2 64901 4 65420 4 65939 4 66459 4 66979 3 67499 3 68017 5 68536 6 69040 3 69054 9 69559 5 69572 11 70078 25 70598 25 71117 26 71636 27 72155 28 72674 28 73194 28 73713 29 74232 30 74751 31 75270 32 75308 6 75789 47 76308 48 76825 51 77343 53 77860 56 78377 58 78889 65 79408 65 79927 65 80446 65 80965 66 81486 65 82005 65 82524 65 83045 63 83565 62 84085 61 84604 61 85124 60 85644 59 86163 59 86684 57 87203 57 87722 57 88241 56 88761 54 89281 53 89800 52 90319 51 90839 50 91358 50 91877 51 92397 51 92916 51 93435 53 93955 52 94475 53 94994 54 95514 55 96034 56 96554 56 97073 57 97593 57 98112 57 98631 59 99151 58 99671 57 100190 58 100709 59 101228 60 101747 61 102267 60 102786 61 103305 62 103825 61 104345 61 104865 61 105386 59 105907 58 106427 58 106947 57 107468 55 107989 54 108510 53 109030 52 109551 51 110071 51 110591 51 111111 51 111631 52 112151 53 112671 53 113190 54 113710 54 114230 54 114749 55 115269 55 115789 55 116309 54 116829 54 117348 55 117867 55 118387 55 118907 55 119426 55 119945 56 120465 55 120985 54 121504 56 122024 56 122544 56 123063 56 123582 56 124103 55 124622 55 125141 56 125662 37 126183 35 126704 32 127225 29 127744 28 128264 27 128784 24 129303 21 129823 15 130343 12 130862 13
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117295 4 117814 4 118333 4 118852 4 119371 4 119890 4 120409 4 120928 6 121447 6 121966 6 122485 6 123004 6 123523 7 124042 8 124561 8 125080 8 125599 8 126118 8 126637 8 127156 8 127675 8 128194 8 128713 7 129232 6 129751 6 130270 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24938 5 25454 11 25971 14 26488 17 27005 20 27522 23 28040 25 28558 26 29076 27 29594 29 30113 29 30632 29 31151 28 31670 28 32189 27 32707 28 33227 26 33746 25 34265 24 34784 23 35303 22 35823 19 36343 16 36862 13 37383 10 37904 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,119917 10 120435 14 120954 15 121473 16 121991 18 122510 18 123028 20 123547 20 124066 21 124585 21 125104 20 125623 20 126143 19 126662 19 127182 18 127701 17 128221 17 128741 15 129260 15 129780 13 130300 11 130820 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,6798 5 7314 10 7832 13 8350 15 8869 16 9388 16 9906 18 10425 19 10943 20 11462 20 11981 21 12500 21 13019 22 13538 22 14057 22 14576 22 15095 22 15614 22 16133 21 16652 20 17171 20 17690 20 18209 20 18728 19 19247 18 19766 18 20286 15 20805 15 21325 13 21844 12 22363 11 22883 9 23405 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,28608 7 29123 15 29639 19 30157 21 30675 23 31194 24 31712 25 32230 26 32749 25 33267 25 33785 26 34304 26 34823 25 35342 24 35861 23 36380 21 36899 20 37418 18 37937 18 38456 17 38975 16 39494 15 40013 14 40534 10 41056 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46268 5 46783 15 47300 19 47818 22 48337 23 48854 26 49373 26 49892 26 50411 26 50930 26 51449 26 51968 25 52487 24 53006 23 53525 22 54045 19 54565 16 55088 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,9417 6 9935 8 10452 11 10971 12 11489 14 12008 15 12526 16 13045 16 13564 16 14084 15 14603 15 15123 15 15642 16 16161 16 16681 15 17201 14 17720 15 18240 14 18760 14 19279 14 19799 13 20319 12 20838 12 21357 12 21876 12 22396 11 22916 10 23435 9 23956 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63412 2 63927 10 64445 12 64963 14 65480 17 65999 18 66518 18 67036 19 67554 20 68073 21 68592 21 69110 23 69629 23 70148 23 70667 23 71186 23 71705 23 72224 23 72743 23 73263 22 73782 22 74301 21 74821 20 75341 18 75860 18 76379 18 76898 17 77417 16 77937 15 78457 13 78976 12 79496 11 80016 8 80538 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,93030 3 93546 9 94064 12 94581 16 95100 16 95619 17 96137 19 96656 19 97174 20 97693 22 98212 22 98732 21 99251 22 99771 22 100290 22 100809 22 101328 22 101848 21 102368 20 102887 20 103407 19 103927 18 104447 17 104967 15 105488 12 106009 9 106532 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,23508 1 24002 4 24019 7 24027 2 24519 8 24538 14 25037 10 25057 18 25556 12 25576 18 26074 13 26094 20 26592 15 26613 21 27111 16 27132 21 27630 17 27650 23 28149 18 28169 23 28668 44 29187 44 29706 44 30225 44 30744 44 31263 44 31783 43 32302 21 32324 21 32822 20 32844 20 33341 20 33365 18 33861 19 33884 18 34381 18 34405 14 34900 18 34924 13 35420 17 35445 9 35940 16 36460 15 36980 14 37501 10 38022 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,50482 4 50997 10 51514 14 52031 16 52550 18 53067 20 53586 20 54104 21 54622 22 55141 22 55659 23 56177 23 56696 22 57215 22 57734 21 58252 21 58770 22 59289 20 59808 20 60327 20 60846 19 61365 18 61884 18 62404 17 62923 17 63443 14 63962 14 64481 13 65001 11 65521 9 66041 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,130912 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,126 26 646 26 1165 26 1684 26 2204 25 2724 24 3243 24 3762 24 4282 22 4802 20 5321 20 5842 18 6361 17 6882 14 7402 13 7923 9 8444 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,112766 14 113282 20 113800 24 114317 28 114836 29 115355 30 115873 31 116391 33 116910 34 117429 34 117948 34 118467 34 118986 33 119506 31 120026 30 120545 28 121066 25 121587 22 122115 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,126774 3 127291 6 127810 7 128330 7 128849 8 129368 8 129887 8 130405 9 130923 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,81148 3 81665 8 82182 12 82700 14 83219 15 83737 16 84255 18 84774 18 85293 19 85812 19 86331 20 86850 20 87369 20 87888 21 88407 20 88927 19 89446 20 89953 6 89965 19 90469 13 90483 20 90985 36 91502 38 92020 38 92537 39 93055 38 93573 37 94092 35 94611 33 95130 33 95649 33 96168 32 96687 32 97206 32 97726 31 98246 29 98765 29 99285 27 99805 26 100325 24 100845 22 101366 18 101887 15 102409 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,164 19 684 19 1203 19 1722 19 2241 20 2762 18 3281 18 3801 17 4321 16 4853 4 5373 4 5883 1 5892 5 6402 2 6410 7 6921 2 6928 8 7440 5 7447 8 7959 15 8478 15 8998 13 9518 12 10038 11 10561 6 11082 4 11602 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,57792 6 58308 14 58826 16 59343 19 59861 21 60379 23 60898 23 61417 24 61935 26 62453 27 62972 27 63492 26 64011 25 64530 24 65049 23 65568 22 66087 20 66607 17 67127 14 67648 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,89995 8 90512 12 91030 15 91548 17 92067 18 92586 19 93104 21 93622 22 94141 24 94661 23 95180 25 95699 25 96218 25 96738 24 97257 25 97776 26 98295 26 98816 24 99335 24 99855 23 100375 22 100895 21 101415 20 101934 20 102454 19 102974 17 103493 16 104014 14 104535 10 105056 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,35513 7 36030 11 36548 13 37065 16 37584 16 38102 19 38621 19 39139 20 39658 20 40177 21 40695 22 41213 23 41732 23 42251 22 42769 23 43287 23 43806 22 44326 21 44845 20 45365 19 45884 17 46404 15 46924 12 47447 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63537 6 64054 11 64572 12 65089 15 65608 16 66127 16 66646 16 67164 17 67683 18 68202 18 68720 20 69239 20 69758 20 70277 20 70796 20 71315 20 71834 20 72353 20 72872 20 73391 20 73910 20 74429 20 74948 20 75467 20 75986 20 76505 20 77024 19 77544 17 78063 17 78583 16 79102 16 79621 16 80140 15 80659 14 81178 14 81699 11 82218 10 82738 8 83259 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,224 31 743 31 1263 30 1782 30 2301 31 2820 31 3340 30 3859 30 4378 30 4897 30 5417 29 5937 28 6456 28 6975 27 7495 26 8015 24 8534 24 9053 24 9572 23 10092 21 10612 20 11131 19 11650 18 12170 17 12690 14 13210 13 13731 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,114436 2 114952 9 115469 12 115987 14 116505 15 117023 17 117541 18 118059 19 118577 20 119095 21 119613 22 120130 24 120647 26 121165 27 121683 27 122201 28 122720 27 123239 27 123757 28 124275 38 124794 41 125313 43 125832 45 126352 46 126871 47 127391 47 127910 47 128429 49 128950 47 129470 46 129991 7 130002 33 130521 33 131040 33
